track_id,facility,configuration,location,length_mi,shape,surface,road_course,turns,banking,primary_family,secondary_family,tire_degradation_prior,track_position_premium_prior,passing_difficulty_prior,attrition_risk_prior,restart_volatility_prior,pit_road_importance_prior,qualifying_importance_prior,strategy_flexibility_prior,dfs_dominator_concentration_prior,finish_variance_prior,key_comparables,key_change_notes,racing_analysis,dfs_betting_implications,source_ids,confidence,status,completed_points_races_2015_2025,completed_points_races_2026_through_cutoff,future_scheduled_points_races_2026,scheduled_points_races_2026_total,scope_event_count_including_2026_schedule,first_year_in_scope,last_year_in_scope_or_schedule,event_count_evidence,score_type,evidence_class,structural_nearest_neighbors
kentucky_pre_2016,Kentucky Speedway,pre-2016 1.5-mile oval,"Sparta, Kentucky",1.5,tri-oval,aged/bumpy asphalt,False,4,14 deg turns,Intermediate oval,bumpy pre-reconfiguration,6,7,6,5,6,7,7,6,8,5,old Texas; Charlotte; Las Vegas,Only the 2015 Cup race is in the requested core window for this version.,"The pre-reconfiguration surface’s bumps and lower grip created a materially different setup problem from 2016 onward. With a one-race core sample, use this profile as historical context, not a standalone predictive cluster.",DFS/betting: do not mix the 2015 result with post-2016 Kentucky without a configuration flag. Any driver-specific conclusion has very low sample support.,S004;S012;S025,High facts / Low predictive,historical/current,1,0,0,0,1,2015,2015,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,las_vegas (95.7); charlotte_oval (94.7); texas_pre_2017 (94.7); kansas (90.9); chicagoland_oval (88.2)
kentucky_post_2016,Kentucky Speedway,2016-2020 reconfigured oval,"Sparta, Kentucky",1.5,asymmetric tri-oval,repaved asphalt,False,4,17 deg turns 1-2; 14 deg turns 3-4,Intermediate oval,smooth asymmetric aero/track-position,3,9,8,4,7,8,9,4,8,4,Texas post-2017; Indianapolis oval; Charlotte,2016 full reconfiguration/repave increased Turns 1-2 banking and produced asymmetric ends. Last Cup points race was 2020.,"The fresh surface narrowed the competitive groove and raised the value of clean air and restart execution. Because the active sample ended before Next Gen, transfer to current smooth tracks should be conceptual rather than direct.","DFS: qualifying and likely leaders carried more value than speculative deep place differential. Betting: historical performance is most useful as evidence of driver strength on narrow, aero-sensitive surfaces, with heavy era discount.",S004;S013;S014;S015;S016;S017;S025,High,historical/current,5,0,0,0,5,2016,2020,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,texas_post_2017 (94.7); charlotte_oval (90.0); las_vegas (87.4); kentucky_pre_2016 (85.7); texas_pre_2017 (83.3)
las_vegas,Las Vegas Motor Speedway,1.5-mile oval,"Las Vegas, Nevada",1.5,tri-oval,asphalt,False,4,20 deg turns,Intermediate oval,conventional high-speed 1.5-mile,6,7,5,4,7,7,7,6,8,4,Kansas; Charlotte; Texas; Michigan,Two annual points races beginning in 2018; no material physical split in scope.,"Las Vegas is a clean test of intermediate organizational speed, aerodynamic balance and long-run pace. It is less forgiving than Kansas for a car that loses front grip in traffic, making track position and pit execution more persistent.",DFS: dominator concentration is usually important; long-run practice and recent intermediate form should lead projections. Betting: manufacturer/team platform strength can be more predictive here than isolated driver track history.,S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,19,1,1,2,21,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,charlotte_oval (96.8); kentucky_pre_2016 (95.7); texas_pre_2017 (94.7); kansas (92.8); chicagoland_oval (88.2)
michigan,Michigan International Speedway,2.0-mile D-oval,"Brooklyn, Michigan",2.0,wide D-oval,asphalt,False,4,18 deg turns,High-speed intermediate,wide high-speed low-drag oval,4,7,6,5,8,7,7,7,8,5,Auto Club; Pocono; Kansas,Moved from two races to one after 2020; package dependence is high because horsepower/drag strongly affect passing.,"Michigan’s width creates theoretical options, but high speed and aerodynamic wake can still make runs difficult to complete. Fuel mileage and restart lane selection can have outsized impact because long green runs produce limited organic reshuffling.","DFS: dominators matter, but fuel strategy can redistribute late laps led. Betting: emphasize engine/aero platform, restart execution and fuel-window probability; avoid treating Auto Club as a perfect comparable because tire wear differed.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,17,1,0,1,18,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,auto_club_2mi (84.1); kentucky_pre_2016 (39.1); charlotte_oval (39.0); las_vegas (38.8); kansas (38.6)
texas_pre_2017,Texas Motor Speedway,pre-2017 1.5-mile oval,"Fort Worth, Texas",1.5,quad-oval,aged asphalt,False,4,24 deg turns,Intermediate oval,older bumpy high-speed intermediate,7,6,5,5,7,7,6,6,8,5,Charlotte; old Atlanta; Las Vegas,Configuration used through 2016; 2017 repave/reconfiguration is a hard split.,The older Texas rewarded bump management and had more lane evolution than the later configuration. Pooling it with 2017+ data erases the most important physical change at the facility.,DFS/betting: pre-2017 track history should receive minimal weight for current Texas projections except as broad evidence of 1.5-mile skill.,S004;S012;S013;S024,High,historical/current,4,0,0,0,4,2015,2016,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,kansas (95.7); kentucky_pre_2016 (94.7); las_vegas (94.7); chicagoland_oval (92.8); charlotte_oval (91.8)
texas_post_2017,Texas Motor Speedway,2017+ asymmetric 1.5-mile oval,"Fort Worth, Texas",1.5,asymmetric quad-oval,repaved asphalt,False,4,20 deg turns 1-2; 24 deg turns 3-4,Intermediate oval,smooth asymmetric track-position oval,4,9,9,6,7,8,9,4,8,5,Kentucky post-2016; Indianapolis oval; Charlotte,2017 repave reduced Turns 1-2 banking from 24 to 20 degrees and widened that end from 60 to 80 feet; Turns 3-4 stayed 24 degrees.,"The two ends demand different compromises, while the repaved surface historically concentrated usable grip. Passing difficulty makes restart lane, pit exit and clean air unusually valuable, though tire and resin applications can shift the exact behavior by event.",DFS: prioritize front-end speed and dominator candidates; deep-starting plays need a clear pace edge. Betting: qualifying and pit crew should be explicitly modeled; use same-track recency over generic intermediate history.,S003;S004;S014;S015;S016;S017;S018;S019;S020;S021;S022;S024;S001,High,historical/current,13,1,0,1,14,2017,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,kentucky_post_2016 (94.7); charlotte_oval (87.4); kentucky_pre_2016 (86.5); las_vegas (84.9); texas_pre_2017 (84.1)
indianapolis_oval,Indianapolis Motor Speedway,2.5-mile oval,"Speedway, Indiana",2.5,rectangular oval,asphalt,False,4,9 deg turns,Large flat oval,momentum/track-position crown-jewel,3,9,9,6,8,9,9,9,7,7,Pocono; Texas post-2017; Michigan,Cup used the road course 2021-2023 and returned to the oval in 2024. Do not pool layouts.,"Four distinct low-banked corners, long straights and narrow aero windows create a momentum and clean-air problem unlike a conventional oval. Pit timing and caution timing can dominate because passing comparable-speed cars is difficult.","DFS: front-row and early leader exposure is important, but strategy can create late place-differential swings. Betting: qualifying, pit crew and crew-chief strategy deserve premium weights; model incident risk at restarts separately from baseline green-flag pace.",S003;S004;S012;S013;S014;S015;S016;S017;S021;S022;S001,High,historical/current,8,0,1,1,9,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,pocono (92.8)
pocono,Pocono Raceway,2.5-mile triangular oval,"Long Pond, Pennsylvania",2.5,three-turn triangular oval,asphalt,False,3,14 deg T1; 8 deg T2; 6 deg T3,Large flat oval,three-corner compromise/fuel-strategy,4,8,7,5,8,9,8,9,7,6,Indianapolis oval; Michigan; Gateway,Two-race doubleheaders in 2020-21 are event-format anomalies; one annual race from 2022.,"Each corner references a different archetype, forcing setup compromise. Long straights make exit speed decisive, while the race distance and pit windows make fuel and stage-break strategy unusually influential.","DFS: dominator concentration can be lower than lap count suggests because strategy cycles leaders. Betting: crew-chief quality, fuel mileage and restart strength should supplement raw speed; same-track practice is especially valuable.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,18,1,0,1,19,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,indianapolis_oval (92.8)
bristol_concrete,Bristol Motor Speedway,0.533-mile concrete oval,"Bristol, Tennessee",0.533,high-banked oval,concrete,False,4,24-28 deg variable,High-banked compact oval,concrete bullring,8,7,6,8,10,8,7,7,9,7,Dover; Nashville; North Wilkesboro (partial),The spring event was dirt-covered in 2021-23; those races are separate. Tire/resin/traction-compound conditions can create event-specific regime shifts.,"Bristol combines traffic density, rhythm, tire behavior and contact. Laps led and fastest laps can concentrate heavily, but a dominant car has unusually high exposure to lapped traffic and restart incidents.","DFS: dominators are essential because of lap volume; roster construction should usually include multiple plausible leaders. Betting: practice long runs, tire notes and groove-development reports are higher value than season-long averages.",S003;S004;S006;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S039;S001,High,historical/current,19,1,1,2,21,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,dover (83.8); nashville (79.4); martinsville (39.8); north_wilkesboro (31.2); iowa (30.6)
bristol_dirt,Bristol Motor Speedway,temporary dirt oval (2021-2023),"Bristol, Tennessee",0.533,high-banked dirt-covered oval,temporary dirt over concrete,False,4,variable after dirt installation,Dirt oval,temporary dirt wildcard,6,5,4,9,10,5,4,7,6,10,No strong Cup comparable; dirt experience only partial,"Three points races, 2021-2023. Surface preparation, weather and format materially changed the race environment.","This was a surface-state event more than a stable track archetype. Visibility, moisture, groove migration and dirt-specific car control mattered, but Cup dirt experience and non-Cup dirt credentials did not transfer one-for-one.",DFS/betting: treat as a retired micro-regime with tiny sample and extreme uncertainty. Historical results should not influence concrete Bristol projections.,S018;S019;S020,High facts / Low generalization,historical,3,0,0,0,3,2021,2023,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,None within same structural supergroup
dover,Dover Motor Speedway,1.0-mile concrete oval,"Dover, Delaware",1.0,high-banked oval,concrete,False,4,24 deg turns; 9 deg straights,High-banked compact oval,concrete one-mile rhythm track,7,8,7,7,8,8,8,6,9,6,Bristol concrete; Nashville,Dover’s 2026 Cup date is the non-points All-Star event and is intentionally excluded from the primary event count.,"Elevation change into and out of the corners creates a sustained-load rhythm problem. Track position and long-run balance matter, while concrete consistency does not eliminate rubber and tire-condition effects.","DFS: high dominator concentration and meaningful fastest-lap upside; prioritize cars likely to control long green runs. Betting: same-track and Bristol/Nashville concrete skill is useful, but no points race is scheduled in 2026.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,17,0,0,0,17,2015,2025,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,nashville (88.2); bristol_concrete (83.8); martinsville (38.5); new_hampshire (31.2); phoenix_pre_2018f (31.1)
iowa,Iowa Speedway,0.875-mile oval,"Newton, Iowa",0.875,D-shaped short oval,asphalt,False,4,12-14 deg progressive,Short oval,progressive multi-groove short track,8,6,5,6,9,7,6,8,8,7,Richmond; North Wilkesboro; Phoenix,Cup points debut in 2024; small Cup sample. Surface patches and tire behavior are central event variables.,"Progressive banking and multiple lanes make Iowa less track-position locked than many flat short tracks. Tire falloff can create comers and goers, but restart aggression still produces sharp short-run variance.",DFS: combine long-run speed with moderate place-differential opportunity; dominators remain important due to lap count. Betting: Xfinity/Truck history can inform comfort but must be discounted for car and field differences.,S003;S004;S021;S022;S001;S039,Medium-High,historical/current,2,0,1,1,3,2024,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,north_wilkesboro (90.5); richmond (88.9); martinsville (52.2); new_hampshire (38.9); phoenix_post_2018f (38.4)
martinsville,Martinsville Speedway,0.526-mile oval,"Ridgeway, Virginia",0.526,paperclip oval,asphalt straights / concrete turns,False,4,12 deg turns,Short oval,flat braking/contact short track,5,8,8,7,10,8,8,8,8,7,North Wilkesboro; Richmond; New Hampshire,"No major physical split in scope; brake package, shifting rules, tire and horsepower are important era variables.","Martinsville is a braking, rotation and drive-off contest where traffic and lane control can overwhelm small pace differences. Passing often requires setting up exits or using contact, so average running position and restart retention are valuable diagnostics.","DFS: laps-led concentration makes dominators essential; starting position matters, but elite cars can move through the field over 500 laps. Betting: model retaliation/contact and late-race restart risk separately from baseline speed.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S039;S001,High,historical/current,22,1,1,2,24,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,north_wilkesboro (54.6); iowa (52.2); richmond (51.4); bristol_concrete (39.8); dover (38.5)
